CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Panasaput B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.4101300,82.5161216
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Poipalli B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.9674870,82.4438010
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Barada B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.4117260,82.4749530
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Dodiput B.O,531040,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,18.3752140,82.4586210
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chinapachila B.O,531025,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8096600,82.7854966
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Gompa B.O,531025,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.7447766,82.8143333
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Devarapalli B.O,531133,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8349368,82.2545547
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,R V NAGAR B.O,531133,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8743540,82.2307639
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Rintada B.O,531133,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8590570,82.2848060
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Vijayaramarajupeta B.O,531026,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8520526,82.8815075
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,D Suravaram B.O,531026,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8501380,82.8829050
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Mangalapuram B.O,531026,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8381640,82.8775220
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Polipalli B.O,531026,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.9674870,83.4438010
Andhra Pradesh Circle,Visakhapatnam Region,Anakapalle Division,Chittayyapalem B.O,531026,BO,Delivery,VISAKHAPATANAM,ANDHRA PRADESH,17.8557970,83.2038290
